1	2	3	4	5
1884	10284301.84	9716508.958	10852094.72	10345747.03
1883	10281602.32	9713809.433	10849395.2	10340969.57
1882	10280197.98	9712405.1	10847990.87	10335210.98
1881	10280094	9712301.12	10847886.88	10328356.74
1880	10281287.48	9713494.6	10849080.36	10320323.88
1879	10283765.91	9715973.025	10851558.79	10311062.52
1878	10287505.59	9719712.711	10855298.48	10300556.52
1877	10292470.23	9724677.348	10860263.11	10288823.26
1876	10298609.61	9730816.731	10866402.5	10275912.66
1875	10305858.63	9738065.749	10873651.51	10261905.33
1874	10314136.58	9746343.696	10881929.46	10246910.1
1873	10323346.86	9755553.974	10891139.74	10231060.78
1872	10333377.12	9765584.233	10901170	10214512.47
1871	10344099.86	9776306.975	10911892.74	10197437.39
1870	10355373.53	9787580.651	10923166.42	10180020.27
1869	10367044.13	9799251.245	10934837.01	0
1868	10378947.21	9811154.328	10946740.09	0
1867	10390910.44	9823117.556	10958703.32	0
1866	10402756.43	9834963.552	10970549.32	0
1865	10414305.99	9846513.11	10982098.88	0
1864	10425381.53	9857588.649	10993174.41	0
1863	10435810.69	9868017.81	11003603.57	0
1862	10445430	9877637.115	11013222.88	0
1861	10454088.45	9886295.572	11021881.34	0
1860	10461651	9893858.115	11029443.88	0
1859	10468001.67	9900208.791	11035794.56	0
1858	10473046.45	9905253.567	11040839.33	0
1857	10476715.57	9908922.69	11044508.45	0
1856	10478965.38	9911172.493	11046758.26	0
1855	10479779.48	9911986.602	11047572.37	0
1854	10479169.35	9911376.47	11046962.23	0
1853	10477174.11	9909381.223	11044966.99	0
1852	10473859.68	9906066.797	11041652.56	0
1851	10469317.25	9901524.372	11037110.14	0
1850	10463661.01	9895868.132	11031453.9	0
1849	10457025.29	9889232.412	11024818.18	0
1848	10449561.16	9881768.282	11017354.05	0
1847	10441432.55	9873639.669	11009225.43	0
1846	10432811.99	9865019.112	11000604.88	0
1845	10423876.16	9856083.273	10991669.04	0
1844	10414801.19	9847008.312	10982594.08	0
1843	10405758.16	9837965.273	10973551.04	0
1842	10396908.49	9829115.603	10964701.37	0
1841	10388399.81	9820606.93	10956192.69	0
1840	10380362.12	9812569.239	10948155	0
1839	10372904.42	9805111.535	10940697.3	0
1838	10366112	9798319.121	10933904.89	0
1837	10360044.43	9792251.548	10927837.31	0
1836	10354734.2	9786941.322	10922527.09	0
1835	10350186.29	9782393.404	10917979.17	0
1834	10346378.4	9778585.517	10914171.28	0
1833	10343262.15	9775469.267	10911055.03	0
1832	10340764.93	9772972.043	10908557.81	0
1831	10338792.54	9770999.656	10906585.42	0
1830	10337232.51	9769439.625	10905025.39	0
1829	10335957.92	9768165.041	10903750.81	0
1828	10334831.76	9767038.881	10902624.65	0
1827	10333711.54	9765918.656	10901504.42	0
1826	10332454.13	9764661.25	10900247.01	0
1825	10330920.7	9763127.819	10898713.58	0
1824	10328981.47	9761188.589	10896774.35	0
1823	10326520.3	9758727.422	10894313.19	0
1822	10323438.88	9755645.999	10891231.76	0
1821	10319660.38	9751867.5	10887453.26	0
1820	10315132.54	9747339.658	10882925.42	0
1819	10309829.97	9742037.091	10877622.86	0
1818	10303755.72	9735962.833	10871548.6	0
1817	10296941.88	9729149	10864734.76	0
1816	10289449.45	9721656.57	10857242.34	0
1815	10281367.14	9713574.261	10849160.03	0
1814	10272809.41	9705016.523	10840602.29	0
1813	10263913.58	9696120.697	10831706.46	0
1812	10254836.29	9687043.409	10822629.17	0
1811	10245749.16	9677956.276	10813542.04	0
1810	10236833.94	9669041.054	10804626.82	0
1809	10228277.23	9660484.352	10796070.12	0
1808	10220264.93	9652472.051	10788057.82	0
1807	10212976.46	9645183.581	10780769.35	0
1806	10206579.12	9638786.236	10774372	0
1805	10201222.54	9633429.653	10769015.42	0
1804	10197033.54	9629240.654	10764826.42	0
1803	10194111.46	9626318.577	10761904.34	0
1802	10192524.12	9624731.242	10760317.01	0
1801	10192304.57	9624511.686	10760097.45	0
1800	10193448.65	9625655.77	10761241.54	0
1799	10195913.62	9628120.739	10763706.5	0
1798	10199617.68	9631824.8	10767410.56	0
1797	10204440.63	9636647.752	10772233.52	0
1796	10210225.57	9642432.684	10778018.45	0
1795	10216781.58	9648988.695	10784574.46	0
1794	10223887.51	9656094.623	10791680.39	0
1793	10231296.56	9681865.752	10780727.37	0
1792	10238741.79	9689310.976	10788172.6	0
1791	10245942.19	9696511.375	10795373	0
1790	10252609.44	9703178.629	10802040.25	0
1789	10258454.99	9709024.175	10807885.8	0
1788	10263197.33	9713766.514	10812628.14	0
1787	10266569.37	9717138.563	10816000.19	0
1786	10268325.67	9718894.856	10817756.48	0
1785	10268249.23	9718818.421	10817680.04	0
1784	10266157.97	9716727.155	10815588.78	0
1783	10261910.33	9712479.52	10811341.14	0
1782	10255410.23	9705979.415	10804841.04	0
1781	10246610.89	9697180.081	10796041.7	0
1780	10235517.74	9686086.929	10784948.55	0
1779	10222190.01	9672759.196	10771620.82	0
1778	10206741.18	9657310.366	10756171.99	0
1777	10189338.14	9639907.325	10738768.95	0
1776	10170199.05	9620768.24	10719629.86	0
1775	10149590	9600159.186	10699020.81	0
1774	10127820.39	9578389.583	10677251.2	0
1773	10105237.33	9555806.521	10654668.14	0
1772	10082218.9	9532788.086	10631649.71	0
1771	10059166.63	9509735.824	10608597.45	0
1770	10036497.31	9487066.497	10585928.12	0
1769	10014634.13	9465203.32	10564064.94	0
1768	9993997.666	9439566.913	10548428.42	0
1767	9974996.582	9420565.829	10529427.33	0
1766	9958018.489	9400540.137	10515496.84	0
1765	9943421.053	9385942.701	10500899.4	0
1764	9931523.592	9374045.24	10489001.94	0
1763	9922599.353	9365121.001	10480077.7	0
1762	9916868.651	9359390.299	10474347	0
1761	9914493.029	9357014.677	10471971.38	0
1760	9915570.588	9358092.236	10473048.94	0
1759	9920132.602	9362654.25	10477610.95	0
1758	9928141.503	9370663.152	10485619.85	0
1757	9939490.307	9382011.955	10496968.66	0
1756	9954003.489	9396525.137	10511481.84	0
1755	9971439.329	9413960.977	10528917.68	0
1754	9991493.659	9434015.308	10548972.01	0
1753	10013804.98	9456326.625	10571283.33	0
1752	10037960.79	9480482.439	10595439.14	0
1751	10063505.1	9506026.744	10620983.45	0
1750	10089946.81	9532468.46	10647425.16	0
1749	10116769.01	9559290.657	10674247.36	0
1748	10143438.73	9585960.378	10700917.08	0
1747	10169417.19	9611938.843	10726895.55	0
1746	10194170.18	9636691.83	10751648.53	0
1745	10217178.35	9659699.995	10774656.7	0
1744	10237947.27	9680468.92	10795425.62	0
1743	10256017.03	9698538.676	10813495.38	0
1742	10270971.04	9713492.689	10828449.39	0
1741	10282444.08	9729112.373	10835775.79	0
1740	10290129.2	9736797.496	10843460.91	0
1739	10293783.49	9740451.782	10847115.2	0
1738	10293232.48	9739900.773	10846564.19	0
1737	10288373.22	9735041.51	10841704.93	0
1736	10279175.82	9725844.108	10832507.52	0
1735	10265683.56	9712351.853	10819015.27	0
1734	10248011.55	9694679.837	10801343.25	0
1733	10226343.86	9673012.153	10779675.57	0
